,Unnamed: 0,Name,Min Price,Max Price,Zip Code
313,313,The Q Playa,2681,4811.0,90045
314,314,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
315,315,ZEN Hollywood,3750,3995.0,90028
316,316,&Pico,3516,4863.0,90064
317,317,One Museum Square,4040,5750.0,90036
318,318,The Gemma,2585,2750.0,90010
319,319,Ferrante,2139,4902.0,90012
320,320,sageLA - Brand New,2395,4670.0,90004
321,321,Arya,4050,4200.0,90034
322,322,The Amara,3145,3330.0,90025
323,323,888 at Grand Hope Park,2435,4350.0,90017
325,325,TENTEN WILSHIRE,2750,4095.0,90017
326,326,VOX,3190,4670.0,90016
327,327,The BORA 3170,2250,3152.0,90006
328,328,Beaudry,2925,7994.0,90017
329,329,Hallasan,3523,4358.0,90005
331,331,951 S. Oxford,1598,1698.0,90006
332,332,Park Wilshire,1885,2370.0,90057
333,333,Violet on Virgil,2175,2518.0,90004
334,334,Broadway Palace,2057,4044.0,90015
335,335,Linea,3000,4010.0,90064
336,336,The Landmark Los Angeles,5080,7990.0,90025
337,337,Circa LA,2510,4236.0,90015
338,338,Arrive Wakaba,2474,3324.0,90012
340,340,Archer,2455,2594.0,90028
341,341,Lumina Hollywood,2850,3546.0,90028
342,342,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
343,343,Park Fifth,2658,4365.0,90013
344,344,TENTEN Downtown,2400,3874.0,90017
345,345,Josephine DTLA,2433,3520.0,90017
346,346,Nari Koreatown,2160,3520.0,90010
347,347,The Chadwick,1672,3468.0,90004
348,348,Palazzo East Apartments,3110,4182.0,90036
349,349,Madrid,2180,2326.0,90045
350,350,THEA at Metropolis,2738,4355.0,90017
351,351,AVA Toluca Hills,2435,2710.0,90068
352,352,Vision on Wilshire,4503,5073.0,90048
